antagonize-v	antagonize.01	antagonize	v	antagonize	antagonize.01	1:1	0:0
antagonize-v	antagonize.01	antagonize	v	antagonize	antagonize.02	0:1	1:2
break-n	break.01	break	n	break	break.18	1:1	3:prd	0:0	mnr:2	4:dir	mnr:mnr	2:2
break-n	break.01	break	n	break	break.01	3:3	0:0	2:2	4:dir	1:1
break-v	break.01	break	v	break	break.18	1:1	3:prd	0:0	mnr:2	2:2	mnr:mnr
break-v	break.01	break	v	break	break.01	3:3	2:2	0:0	1:1
bring-v	bring.02	bring	v	bring	bring_up.02	4:4	1:1	0:0	loc:loc	2:2	3:3
bring-v	bring.02	bring	v	bring	bring_up.08	2:ext	4:4	1:1	0:0	loc:loc	3:3
call-n	call.01	call	n	call	call.02	gol:1	gol:2	1:1	1:2	0:0	2:2	2:1
call-n	call.01	call	n	call	call.07	1:1	2:2	0:0
care-v	care.01	care	v	care	care.01	1:1	0:0
care-v	care.01	care	v	care	care.02	1:1	0:0
care-v	care.01	care	v	care	care.03	1:1	0:0
care-n	care.01	care	n	care	care.01	1:1	0:0
care-n	care.01	care	n	care	care.03	1:1	0:0
care-n	care.01	care	n	care	care.04	1:1	0:0
compete-v	compete.01	compete	v	compete	compete.01	1:1	adv:3	2:2	adv:adv	0:0
compete-v	compete.01	compete	v	compete	compete.02	2:deletion	1:1	0:0	adv:3	3:3	adv:adv
de-nuclearize-v	de-nuclearize.01	denuclearize	v	denuclearize	denuclearize.01	1:1	0:0
concession-n	concession.01	concession	n	concede	concede.01	1:1	2:gol	0:0
concession-n	concession.01	concession	n	concede	concede.02	1:1	2:2	0:0
concession-n	concession.01	concession	n	concede	concede.03	1:1	2:2	0:0
effect-n	effect.01	effect	n	affect	affect.01	1:1	2:2	0:0
effect-n	effect.01	effect	n	affect	effect.03	1:gol	0:0	2:1
engagement-n	engagement.01	engagement	n	engage	engage.01	1:1	2:2	0:0
engagement-n	engagement.01	engagement	n	engage	engagement.02	0:1	1:2	2:3
favor-v	favor.01	favor	v	favor	favor.01	1:1	2:2	0:0
favor-v	favor.01	favor	v	favor	favor.02	2:deletion	1:1	0:0	2:0
favor-v	favor.01	favor	v	favor	favor.03	2:deletion	1:2	0:1	2:deletion
fit-v	fit.01	fit	v	fit	fit.01	1:1	0:0	2:2
fit-v	fit.01	fit	v	fit	fit.06	1:1	0:deletion	0:a	2:2
inform-v	inform.01	inform	v	inform	inform.01	1:1	2:2	0:0
inform-v	inform.01	inform	v	inform	inform.02	gol:gol	1:1	gol:3	2:2	0:0
jab-n	jab.01	jab	n	jab	jab.01	1:1	2:2	0:0
jab-n	jab.01	jab	n	jab	jab.02	1:0	1:1	1:2	0:1	0:0	0:2	2:2	2:1	2:0
know-v	know.01	know	v	know	know.01	1:1	2:2	0:0
know-v	know.01	know	v	know	know.02	2:deletion	1:1	0:0	2:0
leave-v	leave.01	leave	v	leave	leave.11	1:1	2:2	0:0	dir:dir	dir:2
leave-v	leave.01	leave	v	leave	leave.12	1:1	2:2	0:0
leave-v	leave.01	leave	v	leave	leave.14	1:1	2:adv	0:0
leave-n	leave.01	leave	n	leave	leave.09	3:2	1:1	0:0
